#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
382,KyogrePrimal Kyogre,Water,,680,100,150,90,180,160,90,3,True
383,Groudon,Ground,,580,100,150,140,100,90,90,3,True
383,GroudonPrimal Groudon,Ground,Fire,680,100,180,160,150,90,90,3,True
384,Rayquaza,Dragon,Flying,585,105,150,90,150,90,95,3,True
384,RayquazaMega Rayquaza,Dragon,Flying,665,105,180,100,180,100,115,3,True
385,Jirachi,Steel,Psychic,500,100,100,100,100,100,100,3,True
386,DeoxysNormal Forme,Psychic,,450,50,150,50,150,50,150,3,True
386,DeoxysAttack Forme,Psychic,,450,50,180,20,180,20,150,3,True
386,DeoxysDefense Forme,Psychic,,510,50,70,160,70,160,90,3,True
386,DeoxysSpeed Forme,Psychic,,420,50,95,90,95,90,180,3,True
387,Turtwig,Grass,,287,55,68,64,45,55,31,4,False
388,Grotle,Grass,,369,75,89,85,55,65,36,4,False
389,Torterra,Grass,Ground,469,95,109,105,75,85,56,4,False
390,Chimchar,Fire,,248,44,58,44,58,44,61,4,False
391,Monferno,Fire,Fighting,324,64,78,52,78,52,81,4,False
392,Infernape,Fire,Fighting,426,76,104,71,104,71,108,4,False
393,Piplup,Water,,274,53,51,53,61,56,40,4,False
394,Prinplup,Water,,355,64,66,68,81,76,50,4,False
395,Empoleon,Water,Steel,470,84,86,88,111,101,60,4,False
396,Starly,Normal,Flying,185,40,55,30,30,30,60,4,False
397,Staravia,Normal,Flying,260,55,75,50,40,40,80,4,False
398,Staraptor,Normal,Flying,385,85,120,70,50,60,100,4,False
399,Bidoof,Normal,,219,59,45,40,35,40,31,4,False
400,Bibarel,Normal,Water,339,79,85,60,55,60,71,4,False
401,Kricketot,Bug,,169,37,25,41,25,41,25,4,False
402,Kricketune,Bug,,319,77,85,51,55,51,65,4,False
403,Shinx,Electric,,218,45,65,34,40,34,45,4,False
404,Luxio,Electric,,303,60,85,49,60,49,60,4,False
405,Luxray,Electric,,453,80,120,79,95,79,70,4,False
406,Budew,Grass,Poison,225,40,30,35,50,70,55,4,False
407,Roserade,Grass,Poison,425,60,70,65,125,105,90,4,False
408,Cranidos,Rock,,292,67,125,40,30,30,58,4,False
409,Rampardos,Rock,,437,97,165,60,65,50,58,4,False
410,Shieldon,Rock,Steel,320,30,42,118,42,88,30,4,False
411,Bastiodon,Rock,Steel,465,60,52,168,47,138,30,4,False
412,Burmy,Bug,,188,40,29,45,29,45,36,4,False
413,WormadamPlant Cloak,Bug,Grass,388,60,59,85,79,105,36,4,False
413,WormadamSandy Cloak,Bug,Ground,388,60,79,105,59,85,36,4,False
413,WormadamTrash Cloak,Bug,Steel,388,60,69,95,69,95,36,4,False
414,Mothim,Bug,Flying,358,70,94,50,94,50,66,4,False
415,Combee,Bug,Flying,174,30,30,42,30,42,70,4,False
416,Vespiquen,Bug,Flying,434,70,80,102,80,102,40,4,False
417,Pachirisu,Electric,,310,60,45,70,45,90,95,4,False
418,Buizel,Water,,245,55,65,35,60,30,85,4,False
419,Floatzel,Water,,380,85,105,55,85,50,115,4,False
420,Cherubi,Grass,,240,45,35,45,62,53,35,4,False
421,Cherrim,Grass,,365,70,60,70,87,78,85,4,False
422,Shellos,Water,,291,76,48,48,57,62,34,4,False
423,Gastrodon,Water,Ground,436,111,83,68,92,82,39,4,False
424,Ambipom,Normal,,367,75,100,66,60,66,115,4,False
425,Drifloon,Ghost,Flying,278,90,50,34,60,44,70,4,False
426,Drifblim,Ghost,Flying,418,150,80,44,90,54,80,4,False
427,Buneary,Normal,,265,55,66,44,44,56,85,4,False
428,Lopunny,Normal,,375,65,76,84,54,96,105,4,False
428,LopunnyMega Lopunny,Normal,Fighting,445,65,136,94,54,96,135,4,False
429,Mismagius,Ghost,,390,60,60,60,105,105,105,4,False
430,Honchkrow,Dark,Flying,434,100,125,52,105,52,71,4,False
431,Glameow,Normal,,225,49,55,42,42,37,85,4,False
432,Purugly,Normal,,340,71,82,64,64,59,112,4,False
433,Chingling,Psychic,,240,45,30,50,65,50,45,4,False
434,Stunky,Poison,Dark,255,63,63,47,41,41,74,4,False
435,Skuntank,Poison,Dark,395,103,93,67,71,61,84,4,False
436,Bronzor,Steel,Psychic,277,57,24,86,24,86,23,4,False
437,Bronzong,Steel,Psychic,467,67,89,116,79,116,33,4,False
438,Bonsly,Rock,,280,50,80,95,10,45,10,4,False
439,Mime Jr.,Psychic,Fairy,250,20,25,45,70,90,60,4,False
440,Happiny,Normal,,190,100,5,5,15,65,30,4,False
441,Chatot,Normal,Flying,320,76,65,45,92,42,91,4,False
442,Spiritomb,Ghost,Dark,450,50,92,108,92,108,35,4,False
443,Gible,Dragon,Ground,258,58,70,45,40,45,42,4,False
444,Gabite,Dragon,Ground,328,68,90,65,50,55,82,4,False
445,Garchomp,Dragon,Ground,498,108,130,95,80,85,102,4,False
445,GarchompMega Garchomp,Dragon,Ground,608,108,170,115,120,95,92,4,False
446,Munchlax,Normal,,385,135,85,40,40,85,5,4,False
447,Riolu,Fighting,,225,40,70,40,35,40,60,4,False
448,Lucario,Fighting,Steel,435,70,110,70,115,70,90,4,False
448,LucarioMega Lucario,Fighting,Steel,513,70,145,88,140,70,112,4,False
449,Hippopotas,Ground,,298,68,72,78,38,42,32,4,False
450,Hippowdon,Ground,,478,108,112,118,68,72,47,4,False
451,Skorupi,Poison,Bug,265,40,50,90,30,55,65,4,False
452,Drapion,Poison,Dark,405,70,90,110,60,75,95,4,False
453,Croagunk,Poison,Fighting,250,48,61,40,61,40,50,4,False
454,Toxicroak,Poison,Fighting,405,83,106,65,86,65,85,4,False
455,Carnivine,Grass,,408,74,100,72,90,72,46,4,False
456,Finneon,Water,,264,49,49,56,49,61,66,4,False
457,Lumineon,Water,,369,69,69,76,69,86,91,4,False
458,Mantyke,Water,Flying,295,45,20,50,60,120,50,4,False
459,Snover,Grass,Ice,294,60,62,50,62,60,40,4,False
460,Abomasnow,Grass,Ice,434,90,92,75,92,85,60,4,False
460,AbomasnowMega Abomasnow,Grass,Ice,564,90,132,105,132,105,30,4,False
461,Weavile,Dark,Ice,385,70,120,65,45,85,125,4,False
462,Magnezone,Electric,Steel,475,70,70,115,130,90,60,4,False
463,Lickilicky,Normal,,465,110,85,95,80,95,50,4,False
464,Rhyperior,Ground,Rock,495,115,140,130,55,55,40,4,False
465,Tangrowth,Grass,,485,100,100,125,110,50,50,4,False
466,Electivire,Electric,,445,75,123,67,95,85,95,4,False
467,Magmortar,Fire,,457,75,95,67,125,95,83,4,False
468,Togekiss,Fairy,Flying,465,85,50,95,120,115,80,4,False
469,Yanmega,Bug,Flying,420,86,76,86,116,56,95,4,False
470,Leafeon,Grass,,430,65,110,130,60,65,95,4,False
471,Glaceon,Ice,,460,65,60,110,130,95,65,4,False
472,Gliscor,Ground,Flying,415,75,95,125,45,75,95,4,False
473,Mamoswine,Ice,Ground,450,110,130,80,70,60,80,4,False
474,Porygon-Z,Normal,,445,85,80,70,135,75,90,4,False
475,Gallade,Psychic,Fighting,438,68,125,65,65,115,80,4,False
475,GalladeMega Gallade,Psychic,Fighting,508,68,165,95,65,115,110,4,False
476,Probopass,Rock,Steel,485,60,55,145,75,150,40,4,False
477,Dusknoir,Ghost,,480,45,100,135,65,135,45,4,False
478,Froslass,Ice,Ghost,370,70,80,70,80,70,110,4,False
479,Rotom,Electric,Ghost,349,50,50,77,95,77,91,4,False
479,RotomHeat Rotom,Electric,Fire,434,50,65,107,105,107,86,4,False
479,RotomWash Rotom,Electric,Water,434,50,65,107,105,107,86,4,False
479,RotomFrost Rotom,Electric,Ice,434,50,65,107,105,107,86,4,False
479,RotomFan Rotom,Electric,Flying,434,50,65,107,105,107,86,4,False
479,RotomMow Rotom,Electric,Grass,434,50,65,107,105,107,86,4,False
480,Uxie,Psychic,,485,75,75,130,75,130,95,4,True
481,Mesprit,Psychic,,500,80,105,105,105,105,80,4,True
482,Azelf,Psychic,,465,75,125,70,125,70,115,4,True
483,Dialga,Steel,Dragon,590,100,120,120,150,100,90,4,True
484,Palkia,Water,Dragon,580,90,120,100,150,120,100,4,True
485,Heatran,Fire,Steel,523,91,90,106,130,106,77,4,True
486,Regigigas,Normal,,570,110,160,110,80,110,100,4,True
487,GiratinaAltered Forme,Ghost,Dragon,590,150,100,120,100,120,90,4,True
487,GiratinaOrigin Forme,Ghost,Dragon,590,150,120,100,120,100,90,4,True
488,Cresselia,Psychic,,515,120,70,120,75,130,85,4,False
489,Phione,Water,,400,80,80,80,80,80,80,4,False
490,Manaphy,Water,,500,100,100,100,100,100,100,4,False
491,Darkrai,Dark,,475,70,90,90,135,90,125,4,True
492,ShayminLand Forme,Grass,,500,100,100,100,100,100,100,4,True
492,ShayminSky Forme,Grass,Flying,473,100,103,75,120,75,127,4,True
493,Arceus,Normal,,600,120,120,120,120,120,120,4,True
494,Victini,Psychic,Fire,500,100,100,100,100,100,100,5,True
495,Snivy,Grass,,245,45,45,55,45,55,63,5,False
496,Servine,Grass,,330,60,60,75,60,75,83,5,False
497,Serperior,Grass,,415,75,75,95,75,95,113,5,False
498,Tepig,Fire,,263,65,63,45,45,45,45,5,False
499,Pignite,Fire,Fighting,363,90,93,55,70,55,55,5,False
500,Emboar,Fire,Fighting,463,110,123,65,100,65,65,5,False
501,Oshawott,Water,,263,55,55,45,63,45,45,5,False
502,Dewott,Water,,353,75,75,60,83,60,60,5,False
503,Samurott,Water,,458,95,100,85,108,70,70,5,False
504,Patrat,Normal,,213,45,55,39,35,39,42,5,False
505,Watchog,Normal,,343,60,85,69,60,69,77,5,False
506,Lillipup,Normal,,220,45,60,45,25,45,55,5,False
507,Herdier,Normal,,310,65,80,65,35,65,60,5,False
508,Stoutland,Normal,,420,85,110,90,45,90,80,5,False
509,Purrloin,Dark,,215,41,50,37,50,37,66,5,False
510,Liepard,Dark,,340,64,88,50,88,50,106,5,False
511,Pansage,Grass,,252,50,53,48,53,48,64,5,False
512,Simisage,Grass,,397,75,98,63,98,63,101,5,False
513,Pansear,Fire,,252,50,53,48,53,48,64,5,False
514,Simisear,Fire,,397,75,98,63,98,63,101,5,False
515,Panpour,Water,,252,50,53,48,53,48,64,5,False
516,Simipour,Water,,397,75,98,63,98,63,101,5,False
517,Munna,Psychic,,268,76,25,45,67,55,24,5,False
518,Musharna,Psychic,,458,116,55,85,107,95,29,5,False
519,Pidove,Normal,Flying,221,50,55,50,36,30,43,5,False
520,Tranquill,Normal,Flying,293,62,77,62,50,42,65,5,False
521,Unfezant,Normal,Flying,395,80,115,80,65,55,93,5,False
522,Blitzle,Electric,,219,45,60,32,50,32,76,5,False
523,Zebstrika,Electric,,381,75,100,63,80,63,116,5,False
524,Roggenrola,Rock,,265,55,75,85,25,25,15,5,False
525,Boldore,Rock,,370,70,105,105,50,40,20,5,False
526,Gigalith,Rock,,490,85,135,130,60,80,25,5,False
527,Woobat,Psychic,Flying,241,55,45,43,55,43,72,5,False
528,Swoobat,Psychic,Flying,311,67,57,55,77,55,114,5,False
529,Drilbur,Ground,,260,60,85,40,30,45,68,5,False
530,Excadrill,Ground,Steel,420,110,135,60,50,65,88,5,False
531,Audino,Normal,,395,103,60,86,60,86,50,5,False
531,AudinoMega Audino,Normal,Fairy,495,103,60,126,80,126,50,5,False
532,Timburr,Fighting,,270,75,80,55,25,35,35,5,False
533,Gurdurr,Fighting,,365,85,105,85,40,50,40,5,False
534,Conkeldurr,Fighting,,460,105,140,95,55,65,45,5,False
535,Tympole,Water,,230,50,50,40,50,40,64,5,False
536,Palpitoad,Water,Ground,315,75,65,55,65,55,69,5,False
537,Seismitoad,Water,Ground,435,105,95,75,85,75,74,5,False
538,Throh,Fighting,,420,120,100,85,30,85,45,5,False
539,Sawk,Fighting,,380,75,125,75,30,75,85,5,False
540,Sewaddle,Bug,Grass,268,45,53,70,40,60,42,5,False
541,Swadloon,Bug,Grass,338,55,63,90,50,80,42,5,False
542,Leavanny,Bug,Grass,408,75,103,80,70,80,92,5,False
543,Venipede,Bug,Poison,203,30,45,59,30,39,57,5,False
544,Whirlipede,Bug,Poison,313,40,55,99,40,79,47,5,False
545,Scolipede,Bug,Poison,373,60,100,89,55,69,112,5,False
546,Cottonee,Grass,Fairy,214,40,27,60,37,50,66,5,False
547,Whimsicott,Grass,Fairy,364,60,67,85,77,75,116,5,False
548,Petilil,Grass,,250,45,35,50,70,50,30,5,False
549,Lilligant,Grass,,390,70,60,75,110,75,90,5,False
550,Basculin,Water,,362,70,92,65,80,55,98,5,False
551,Sandile,Ground,Dark,227,50,72,35,35,35,65,5,False
552,Krokorok,Ground,Dark,277,60,82,45,45,45,74,5,False
553,Krookodile,Ground,Dark,427,95,117,80,65,70,92,5,False
554,Darumaka,Fire,,265,70,90,45,15,45,50,5,False
555,DarmanitanStandard Mode,Fire,,385,105,140,55,30,55,95,5,False
555,DarmanitanZen Mode,Fire,Psychic,485,105,30,105,140,105,55,5,False
556,Maractus,Grass,,401,75,86,67,106,67,60,5,False
557,Dwebble,Bug,Rock,270,50,65,85,35,35,55,5,False
558,Crustle,Bug,Rock,430,70,95,125,65,75,45,5,False
559,Scraggy,Dark,Fighting,300,50,75,70,35,70,48,5,False
560,Scrafty,Dark,Fighting,430,65,90,115,45,115,58,5,False
561,Sigilyph,Psychic,Flying,393,72,58,80,103,80,97,5,False
562,Yamask,Ghost,,273,38,30,85,55,65,30,5,False
563,Cofagrigus,Ghost,,453,58,50,145,95,105,30,5,False
564,Tirtouga,Water,Rock,333,54,78,103,53,45,22,5,False
565,Carracosta,Water,Rock,463,74,108,133,83,65,32,5,False
566,Archen,Rock,Flying,331,55,112,45,74,45,70,5,False
567,Archeops,Rock,Flying,457,75,140,65,112,65,110,5,False
568,Trubbish,Poison,,264,50,50,62,40,62,65,5,False
569,Garbodor,Poison,,399,80,95,82,60,82,75,5,False
570,Zorua,Dark,,265,40,65,40,80,40,65,5,False
571,Zoroark,Dark,,405,60,105,60,120,60,105,5,False
572,Minccino,Normal,,225,55,50,40,40,40,75,5,False
573,Cinccino,Normal,,355,75,95,60,65,60,115,5,False
574,Gothita,Psychic,,245,45,30,50,55,65,45,5,False
575,Gothorita,Psychic,,335,60,45,70,75,85,55,5,False
576,Gothitelle,Psychic,,425,70,55,95,95,110,65,5,False
577,Solosis,Psychic,,270,45,30,40,105,50,20,5,False
578,Duosion,Psychic,,340,65,40,50,125,60,30,5,False
579,Reuniclus,Psychic,,460,110,65,75,125,85,30,5,False
580,Ducklett,Water,Flying,250,62,44,50,44,50,55,5,False
581,Swanna,Water,Flying,375,75,87,63,87,63,98,5,False
582,Vanillite,Ice,,261,36,50,50,65,60,44,5,False
583,Vanillish,Ice,,336,51,65,65,80,75,59,5,False
584,Vanilluxe,Ice,,456,71,95,85,110,95,79,5,False
585,Deerling,Normal,Grass,260,60,60,50,40,50,75,5,False
586,Sawsbuck,Normal,Grass,380,80,100,70,60,70,95,5,False
587,Emolga,Electric,Flying,325,55,75,60,75,60,103,5,False
588,Karrablast,Bug,,255,50,75,45,40,45,60,5,False
589,Escavalier,Bug,Steel,475,70,135,105,60,105,20,5,False
590,Foongus,Grass,Poison,279,69,55,45,55,55,15,5,False
591,Amoonguss,Grass,Poison,434,114,85,70,85,80,30,5,False
592,Frillish,Water,Ghost,295,55,40,50,65,85,40,5,False
593,Jellicent,Water,Ghost,420,100,60,70,85,105,60,5,False
594,Alomomola,Water,,405,165,75,80,40,45,65,5,False
595,Joltik,Bug,Electric,254,50,47,50,57,50,65,5,False
596,Galvantula,Bug,Electric,364,70,77,60,97,60,108,5,False
597,Ferroseed,Grass,Steel,295,44,50,91,24,86,10,5,False
598,Ferrothorn,Grass,Steel,469,74,94,131,54,116,20,5,False
599,Klink,Steel,,270,40,55,70,45,60,30,5,False
600,Klang,Steel,,390,60,80,95,70,85,50,5,False
601,Klinklang,Steel,,430,60,100,115,70,85,90,5,False
602,Tynamo,Electric,,215,35,55,40,45,40,60,5,False
603,Eelektrik,Electric,,365,65,85,70,75,70,40,5,False
604,Eelektross,Electric,,465,85,115,80,105,80,50,5,False
605,Elgyem,Psychic,,305,55,55,55,85,55,30,5,False
606,Beheeyem,Psychic,,445,75,75,75,125,95,40,5,False
607,Litwick,Ghost,Fire,255,50,30,55,65,55,20,5,False
608,Lampent,Ghost,Fire,315,60,40,60,95,60,55,5,False
609,Chandelure,Ghost,Fire,440,60,55,90,145,90,80,5,False
610,Axew,Dragon,,263,46,87,60,30,40,57,5,False
611,Fraxure,Dragon,,343,66,117,70,40,50,67,5,False
612,Haxorus,Dragon,,443,76,147,90,60,70,97,5,False
613,Cubchoo,Ice,,265,55,70,40,60,40,40,5,False
614,Beartic,Ice,,435,95,110,80,70,80,50,5,False
615,Cryogonal,Ice,,380,70,50,30,95,135,105,5,False
616,Shelmet,Bug,,280,50,40,85,40,65,25,5,False
617,Accelgor,Bug,,350,80,70,40,100,60,145,5,False
618,Stunfisk,Ground,Electric,439,109,66,84,81,99,32,5,False
619,Mienfoo,Fighting,,285,45,85,50,55,50,65,5,False
620,Mienshao,Fighting,,405,65,125,60,95,60,105,5,False
621,Druddigon,Dragon,,437,77,120,90,60,90,48,5,False
622,Golett,Ground,Ghost,268,59,74,50,35,50,35,5,False
623,Golurk,Ground,Ghost,428,89,124,80,55,80,55,5,False
624,Pawniard,Dark,Steel,280,45,85,70,40,40,60,5,False
625,Bisharp,Dark,Steel,420,65,125,100,60,70,70,5,False
626,Bouffalant,Normal,,435,95,110,95,40,95,55,5,False
627,Rufflet,Normal,Flying,290,70,83,50,37,50,60,5,False
628,Braviary,Normal,Flying,430,100,123,75,57,75,80,5,False
629,Vullaby,Dark,Flying,310,70,55,75,45,65,60,5,False
630,Mandibuzz,Dark,Flying,430,110,65,105,55,95,80,5,False
631,Heatmor,Fire,,419,85,97,66,105,66,65,5,False
632,Durant,Bug,Steel,375,58,109,112,48,48,109,5,False
633,Deino,Dark,Dragon,262,52,65,50,45,50,38,5,False
634,Zweilous,Dark,Dragon,362,72,85,70,65,70,58,5,False
635,Hydreigon,Dark,Dragon,502,92,105,90,125,90,98,5,False
636,Larvesta,Bug,Fire,300,55,85,55,50,55,60,5,False
637,Volcarona,Bug,Fire,450,85,60,65,135,105,100,5,False
638,Cobalion,Steel,Fighting,472,91,90,129,90,72,108,5,True
639,Terrakion,Rock,Fighting,472,91,129,90,72,90,108,5,True
640,Virizion,Grass,Fighting,472,91,90,72,90,129,108,5,True
641,TornadusIncarnate Forme,Flying,,469,79,115,70,125,80,111,5,True
641,TornadusTherian Forme,Flying,,459,79,100,80,110,90,121,5,True
642,ThundurusIncarnate Forme,Electric,Flying,469,79,115,70,125,80,111,5,True
642,ThundurusTherian Forme,Electric,Flying,479,79,105,70,145,80,101,5,True
643,Reshiram,Dragon,Fire,590,100,120,100,150,120,90,5,True
644,Zekrom,Dragon,Electric,590,100,150,120,120,100,90,5,True
645,LandorusIncarnate Forme,Ground,Flying,499,89,125,90,115,80,101,5,True
645,LandorusTherian Forme,Ground,Flying,509,89,145,90,105,80,91,5,True
646,Kyurem,Dragon,Ice,565,125,130,90,130,90,95,5,True
646,KyuremBlack Kyurem,Dragon,Ice,605,125,170,100,120,90,95,5,True
646,KyuremWhite Kyurem,Dragon,Ice,605,125,120,90,170,100,95,5,True
647,KeldeoOrdinary Forme,Water,Fighting,472,91,72,90,129,90,108,5,False
647,KeldeoResolute Forme,Water,Fighting,472,91,72,90,129,90,108,5,False
648,MeloettaAria Forme,Normal,Psychic,510,100,77,77,128,128,90,5,False
648,MeloettaPirouette Forme,Normal,Fighting,472,100,128,90,77,77,128,5,False
649,Genesect,Bug,Steel,501,71,120,95,120,95,99,5,False
650,Chespin,Grass,,275,56,61,65,48,45,38,6,False
651,Quilladin,Grass,,348,61,78,95,56,58,57,6,False
652,Chesnaught,Grass,Fighting,466,88,107,122,74,75,64,6,False
653,Fennekin,Fire,,247,40,45,40,62,60,60,6,False
654,Braixen,Fire,,336,59,59,58,90,70,73,6,False
655,Delphox,Fire,Psychic,430,75,69,72,114,100,104,6,False
656,Froakie,Water,,243,41,56,40,62,44,71,6,False
657,Frogadier,Water,,308,54,63,52,83,56,97,6,False
658,Greninja,Water,Dark,408,72,95,67,103,71,122,6,False
659,Bunnelby,Normal,,180,38,36,38,32,36,57,6,False
660,Diggersby,Normal,Ground,345,85,56,77,50,77,78,6,False
661,Fletchling,Normal,Flying,216,45,50,43,40,38,62,6,False
662,Fletchinder,Fire,Flying,298,62,73,55,56,52,84,6,False
663,Talonflame,Fire,Flying,373,78,81,71,74,69,126,6,False
664,Scatterbug,Bug,,165,38,35,40,27,25,35,6,False
665,Spewpa,Bug,,184,45,22,60,27,30,29,6,False
666,Vivillon,Bug,Flying,322,80,52,50,90,50,89,6,False
667,Litleo,Fire,Normal,297,62,50,58,73,54,72,6,False
668,Pyroar,Fire,Normal,401,86,68,72,109,66,106,6,False
669,Flabébé,Fairy,,261,44,38,39,61,79,42,6,False
670,Floette,Fairy,,319,54,45,47,75,98,52,6,False
671,Florges,Fairy,,477,78,65,68,112,154,75,6,False
672,Skiddo,Grass,,298,66,65,48,62,57,52,6,False
673,Gogoat,Grass,,463,123,100,62,97,81,68,6,False
674,Pancham,Fighting,,305,67,82,62,46,48,43,6,False
675,Pangoro,Fighting,Dark,437,95,124,78,69,71,58,6,False
676,Furfrou,Normal,,370,75,80,60,65,90,102,6,False
677,Espurr,Psychic,,287,62,48,54,63,60,68,6,False
678,MeowsticMale,Psychic,,362,74,48,76,83,81,104,6,False
678,MeowsticFemale,Psychic,,362,74,48,76,83,81,104,6,False
679,Honedge,Steel,Ghost,297,45,80,100,35,37,28,6,False
680,Doublade,Steel,Ghost,413,59,110,150,45,49,35,6,False
681,AegislashBlade Forme,Steel,Ghost,460,60,150,50,150,50,60,6,False
681,AegislashShield Forme,Steel,Ghost,460,60,50,150,50,150,60,6,False
682,Spritzee,Fairy,,318,78,52,60,63,65,23,6,False
683,Aromatisse,Fairy,,433,101,72,72,99,89,29,6,False
684,Swirlix,Fairy,,292,62,48,66,59,57,49,6,False
685,Slurpuff,Fairy,,408,82,80,86,85,75,72,6,False
686,Inkay,Dark,Psychic,243,53,54,53,37,46,45,6,False
687,Malamar,Dark,Psychic,409,86,92,88,68,75,73,6,False
688,Binacle,Rock,Water,256,42,52,67,39,56,50,6,False
689,Barbaracle,Rock,Water,432,72,105,115,54,86,68,6,False
690,Skrelp,Poison,Water,290,50,60,60,60,60,30,6,False
691,Dragalge,Poison,Dragon,450,65,75,90,97,123,44,6,False
692,Clauncher,Water,,286,50,53,62,58,63,44,6,False
693,Clawitzer,Water,,441,71,73,88,120,89,59,6,False
694,Helioptile,Electric,Normal,219,44,38,33,61,43,70,6,False
695,Heliolisk,Electric,Normal,372,62,55,52,109,94,109,6,False
696,Tyrunt,Rock,Dragon,314,58,89,77,45,45,48,6,False
697,Tyrantrum,Rock,Dragon,450,82,121,119,69,59,71,6,False
698,Amaura,Rock,Ice,316,77,59,50,67,63,46,6,False
699,Aurorus,Rock,Ice,463,123,77,72,99,92,58,6,False
700,Sylveon,Fairy,,465,95,65,65,110,130,60,6,False
701,Hawlucha,Fighting,Flying,382,78,92,75,74,63,118,6,False
702,Dedenne,Electric,Fairy,330,67,58,57,81,67,101,6,False
703,Carbink,Rock,Fairy,450,50,50,150,50,150,50,6,False
704,Goomy,Dragon,,260,45,50,35,55,75,40,6,False
705,Sliggoo,Dragon,,392,68,75,53,83,113,60,6,False
706,Goodra,Dragon,,520,90,100,70,110,150,80,6,False
707,Klefki,Steel,Fairy,395,57,80,91,80,87,75,6,False
708,Phantump,Ghost,Grass,271,43,70,48,50,60,38,6,False
709,Trevenant,Ghost,Grass,418,85,110,76,65,82,56,6,False
710,PumpkabooAverage Size,Ghost,Grass,284,49,66,70,44,55,51,6,False
710,PumpkabooSmall Size,Ghost,Grass,279,44,66,70,44,55,56,6,False
710,PumpkabooLarge Size,Ghost,Grass,289,54,66,70,44,55,46,6,False
710,PumpkabooSuper Size,Ghost,Grass,294,59,66,70,44,55,41,6,False
711,GourgeistAverage Size,Ghost,Grass,410,65,90,122,58,75,84,6,False
711,GourgeistSmall Size,Ghost,Grass,395,55,85,122,58,75,99,6,False
711,GourgeistLarge Size,Ghost,Grass,425,75,95,122,58,75,69,6,False
711,GourgeistSuper Size,Ghost,Grass,440,85,100,122,58,75,54,6,False
712,Bergmite,Ice,,276,55,69,85,32,35,28,6,False
713,Avalugg,Ice,,486,95,117,184,44,46,28,6,False
714,Noibat,Flying,Dragon,190,40,30,35,45,40,55,6,False
715,Noivern,Flying,Dragon,412,85,70,80,97,80,123,6,False
716,Xerneas,Fairy,,581,126,131,95,131,98,99,6,True
717,Yveltal,Dark,Flying,581,126,131,95,131,98,99,6,True
718,Zygarde50% Forme,Dragon,Ground,505,108,100,121,81,95,95,6,True
719,Diancie,Rock,Fairy,550,50,100,150,100,150,50,6,True
719,DiancieMega Diancie,Rock,Fairy,590,50,160,110,160,110,110,6,True
720,HoopaHoopa Confined,Psychic,Ghost,530,80,110,60,150,130,70,6,True
720,HoopaHoopa Unbound,Psychic,Dark,600,80,160,60,170,130,80,6,True
721,Volcanion,Fire,Water,530,80,110,120,130,90,70,6,True
